site_id,lat,lon,altitude_m,ghi_kwh_m2_yr,slope_deg,area_ha,capacity_mw,grid_km,road_km,land_eur_ha,substation,substation_capacity_mw,annual_mwh,lifetime_mwh,capex_eur,capex_eur_per_kw,lcoe_proxy
S060,30.7397,54.0941,1817.0,2179.7,4.17,110.0,68.0,59.79,92.71,2838.0,3,30.0,128951.0,3030350.0,49948424.0,734.5,16.48
S061,32.9921,55.2904,1361.0,1922.2,8.77,74.6,46.0,50.04,1.16,8793.0,2,30.0,76926.0,1807771.0,31605072.0,687.1,17.48
S062,32.4259,52.9645,1421.0,2050.4,3.42,139.9,87.0,62.78,175.6,2041.0,6,20.0,155195.0,3647077.0,66292420.0,762.0,18.18
S063,33.1017,54.5959,1199.0,1893.0,3.88,59.1,36.0,27.56,66.99,4489.0,0,50.0,59289.0,1393286.0,26375301.0,732.6,18.93
S064,31.225,56.3468,1337.0,2103.0,3.69,32.7,20.0,23.54,72.93,5454.0,1,50.0,36592.0,859917.0,16115640.0,805.8,18.74
S065,32.3075,54.5352,1628.0,1995.3,3.83,71.7,44.0,29.0,53.77,3161.0,7,50.0,76380.0,1794932.0,31004618.0,704.7,17.27
S066,33.2957,54.4922,1198.0,1945.1,4.3,98.3,61.0,28.25,82.78,4626.0,0,50.0,103226.0,2425822.0,43475966.0,712.7,17.92
S067,32.3818,53.163,1274.0,1959.6,5.27,153.7,96.0,54.04,170.0,4666.0,6,20.0,163666.0,3846146.0,72157263.0,751.6,18.76
S068,33.3022,54.8124,1030.0,1880.9,1.29,27.7,17.0,2.49,57.43,9570.0,0,50.0,27819.0,653735.0,13281965.0,781.3,20.32
S069,31.3099,53.5929,1544.0,2050.4,7.91,57.3,35.0,33.11,67.09,3373.0,4,80.0,62435.0,1467215.0,26016388.0,743.3,17.73
S070,32.7766,54.4454,1338.0,1922.1,2.12,97.2,60.0,64.23,64.5,3788.0,8,20.0,100334.0,2357840.0,43467598.0,724.5,18.44
S071,31.9092,54.8461,1936.0,2039.9,9.26,113.7,71.0,34.13,69.49,5482.0,7,50.0,126005.0,2961109.0,50405320.0,709.9,17.02
S072,31.2654,54.4175,1678.0,2117.4,1.94,168.5,105.0,32.08,70.46,6159.0,3,30.0,193424.0,4545476.0,72019828.0,685.9,15.84
S073,31.0169,55.7067,1911.0,2198.5,0.4,40.4,25.0,46.58,56.45,7966.0,1,50.0,47817.0,1123708.0,19115536.0,764.6,17.01
S074,31.2166,53.872,1176.0,2117.0,5.49,187.6,117.0,20.91,81.23,3554.0,3,30.0,215489.0,5064002.0,79458016.0,679.1,15.69
S075,32.6623,55.6441,1165.0,1942.4,4.44,156.4,97.0,80.55,48.31,4857.0,2,30.0,163919.0,3852100.0,69647554.0,718.0,18.08
S076,31.8197,54.7379,1422.0,2019.4,3.11,156.5,97.0,44.76,82.23,6848.0,7,50.0,170417.0,4004803.0,68489335.0,706.1,17.1
S077,32.5849,55.073,1484.0,1978.4,2.72,43.0,26.0,47.26,8.65,11413.0,7,50.0,44751.0,1051658.0,18035036.0,693.7,17.15
S078,33.2983,55.2175,1808.0,1866.4,2.3,42.7,26.0,32.91,35.4,10550.0,2,30.0,42218.0,992122.0,18811410.0,723.5,18.96
S079,30.9822,54.4536,1317.0,2118.0,1.34,48.0,29.0,48.37,63.64,2016.0,3,30.0,53437.0,1255773.0,21900124.0,755.2,17.44
S080,32.921,54.3865,1480.0,1963.5,3.8,56.5,35.0,55.58,77.66,3111.0,0,50.0,59789.0,1405032.0,26847676.0,767.1,19.11
S081,31.1845,52.9094,1283.0,2086.8,1.06,112.0,69.0,59.37,42.54,5693.0,4,80.0,125271.0,2943859.0,48505642.0,703.0,16.48
S082,30.6866,53.472,1701.0,2136.7,4.26,98.0,61.0,37.43,37.35,6763.0,4,80.0,113395.0,2664775.0,42209190.0,692.0,15.84
S083,32.6549,55.7811,1205.0,1982.9,2.63,104.3,65.0,83.61,58.11,3439.0,2,30.0,112133.0,2635125.0,47586212.0,732.1,18.06
S084,31.4921,55.3392,1316.0,2102.2,8.42,71.3,44.0,76.87,33.89,8502.0,1,50.0,80472.0,1891097.0,32484947.0,738.3,17.18
S085,32.3363,53.9361,1450.0,1991.9,2.04,70.0,43.0,17.35,106.86,7464.0,8,20.0,74517.0,1751149.0,32379713.0,753.0,18.49
S086,31.9865,53.537,1957.0,1989.5,3.99,112.2,70.0,62.44,131.74,3017.0,8,20.0,121161.0,2847273.0,53085796.0,758.4,18.64
S087,30.6489,54.8546,1384.0,2161.8,1.89,72.7,45.0,101.66,51.6,3979.0,3,30.0,84634.0,1988910.0,34048062.0,756.6,17.12
S088,31.6587,54.7452,1384.0,2038.5,1.55,165.9,103.0,62.36,75.8,1800.0,7,50.0,182670.0,4292745.0,72583715.0,704.7,16.91
S089,31.5888,55.4367,1744.0,2058.3,7.1,90.7,56.0,72.88,23.93,6001.0,1,50.0,100280.0,2356589.0,40029269.0,714.8,16.99
S090,32.793,54.5711,1082.0,1968.4,2.41,104.4,65.0,58.54,55.36,3747.0,0,50.0,111313.0,2615856.0,46211427.0,710.9,17.67
S091,32.1075,55.5696,1826.0,2045.9,1.37,98.3,61.0,71.22,51.41,3475.0,7,50.0,108576.0,2551534.0,43830637.0,718.5,17.18
S092,31.6321,52.8842,1401.0,2034.3,4.9,63.5,39.0,89.78,89.77,2082.0,4,80.0,69024.0,1622059.0,31090750.0,797.2,19.17
S093,31.5328,54.6076,1294.0,2046.0,5.0,56.2,35.0,57.56,71.79,2123.0,3,30.0,62301.0,1464066.0,26659631.0,761.7,18.21
S094,31.3255,54.2385,1664.0,2078.6,1.6,46.0,28.0,15.97,88.72,7020.0,3,30.0,50635.0,1189915.0,21822905.0,779.4,18.34
S095,30.906,53.2542,1274.0,2149.5,1.5,75.1,46.0,27.05,13.02,10853.0,4,80.0,86023.0,2021540.0,30952504.0,672.9,15.31
S096,32.1856,53.9479,1654.0,2017.0,2.24,70.3,43.0,33.57,110.13,5241.0,8,20.0,75456.0,1773215.0,32919504.0,765.6,18.56
S097,33.0199,54.3174,1211.0,1896.8,4.06,104.1,65.0,53.39,89.49,1800.0,0,50.0,107264.0,2520705.0,47335488.0,728.2,18.78
S098,30.9946,53.4376,1938.0,2153.2,2.48,86.7,54.0,6.98,33.08,11947.0,4,80.0,101157.0,2377197.0,36393346.0,674.0,15.31
S099,33.204,54.0024,1255.0,1870.8,3.0,85.1,53.0,67.26,123.4,3448.0,6,20.0,86263.0,2027171.0,41347303.0,780.1,20.4
S100,32.5139,56.236,1439.0,1953.1,1.52,110.3,68.0,115.55,39.33,5745.0,2,30.0,115545.0,2715317.0,50724178.0,745.9,18.68
S101,32.4831,53.8899,936.0,1938.7,6.65,119.1,74.0,3.01,109.43,12163.0,8,20.0,124814.0,2933117.0,52811956.0,713.7,18.01
S102,32.471,55.0515,1355.0,1934.5,0.47,66.8,41.0,35.55,4.18,12599.0,7,50.0,69004.0,1621585.0,27602004.0,673.2,17.02
S103,32.8755,55.3939,1093.0,1913.0,1.16,62.7,39.0,58.43,15.16,7839.0,2,30.0,64908.0,1525340.0,27151264.0,696.2,17.8
S104,31.6107,53.4321,940.0,2013.6,3.71,91.3,57.0,65.8,88.92,4280.0,4,80.0,99854.0,2346579.0,42697504.0,749.1,18.2
S105,31.7134,54.171,1118.0,2020.5,5.56,69.4,43.0,49.26,115.78,3280.0,3,30.0,75587.0,1776292.0,33749238.0,784.9,19.0
S106,32.0344,55.9001,1685.0,2019.1,1.37,87.8,54.0,87.93,25.29,7754.0,1,50.0,94857.0,2229147.0,39033864.0,722.8,17.51
S107,32.8439,52.849,1041.0,1920.1,0.2,61.4,38.0,59.06,209.93,2227.0,6,20.0,63479.0,1491745.0,34275356.0,902.0,22.98
S108,31.9017,54.5182,1414.0,2055.0,2.86,65.3,40.0,45.26,84.35,5646.0,7,50.0,71514.0,1680579.0,30289376.0,757.2,18.02
S109,31.5249,52.8949,1553.0,2073.0,1.27,49.5,30.0,80.44,78.04,5512.0,4,80.0,54105.0,1271475.0,24088065.0,802.9,18.94
S110,32.6295,55.0243,991.0,1905.7,4.6,137.6,86.0,49.72,13.79,7752.0,7,50.0,142584.0,3350735.0,58874693.0,684.6,17.57
S111,33.0509,55.6367,1452.0,1911.2,8.62,116.6,72.0,37.66,32.01,9271.0,2,30.0,119718.0,2813363.0,50080332.0,695.6,17.8
S112,32.1507,55.9404,1673.0,1993.2,5.4,91.0,56.0,99.92,16.18,10562.0,1,50.0,97109.0,2282055.0,41163688.0,735.1,18.04
S113,30.9803,56.1676,1221.0,2150.8,1.52,113.5,70.0,24.58,79.13,8070.0,5,80.0,130984.0,3078117.0,49135753.0,701.9,15.96
S114,31.0831,54.475,1086.0,2087.8,1.93,197.0,120.0,43.32,61.12,4691.0,3,30.0,217966.0,5122209.0,82281739.0,685.7,16.06
S115,33.3756,53.105,1372.0,1878.8,0.02,110.5,69.0,73.88,206.04,4018.0,6,20.0,112784.0,2650433.0,55855892.0,809.5,21.07
S116,31.9778,54.7997,1485.0,1991.6,2.73,87.7,54.0,26.54,63.74,5701.0,7,50.0,93565.0,2198786.0,37988682.0,703.5,17.28
S117,30.7878,55.2115,1788.0,2180.5,0.76,68.6,42.0,100.04,31.08,6722.0,1,50.0,79675.0,1872374.0,31130084.0,741.2,16.63
S118,32.4664,55.7606,1608.0,2013.7,3.03,119.0,74.0,92.32,45.96,2420.0,7,50.0,129642.0,3046587.0,53752129.0,726.4,17.64
S119,31.6814,55.4056,1831.0,2066.4,0.36,82.9,51.0,80.87,29.82,5917.0,7,50.0,91686.0,2154625.0,36606590.0,717.8,16.99
S120,32.5653,56.2506,1304.0,1953.0,2.26,71.6,44.0,111.59,45.2,3675.0,2,30.0,74761.0,1756880.0,33415487.0,759.4,19.02
S121,31.8312,55.2725,1590.0,2035.0,3.09,84.1,52.0,60.13,49.39,3198.0,7,50.0,92063.0,2163490.0,37255191.0,716.4,17.22
S122,32.8068,53.7606,1213.0,1981.6,0.46,143.3,89.0,26.52,125.75,8446.0,6,20.0,153435.0,3605729.0,63572193.0,714.3,17.63
S123,31.8612,55.0834,1246.0,2050.6,3.24,98.7,61.0,46.38,66.14,2114.0,7,50.0,108825.0,2557396.0,43299870.0,709.8,16.93
S124,33.1844,53.5055,1296.0,1872.0,6.29,56.9,35.0,44.03,163.21,7433.0,6,20.0,57002.0,1339556.0,30498994.0,871.4,22.77
S125,32.9445,54.4129,1458.0,1907.8,10.05,165.0,103.0,51.98,77.29,4242.0,0,50.0,170958.0,4017512.0,73483151.0,713.4,18.29
S126,31.9886,53.6503,1181.0,2020.7,3.1,49.9,31.0,57.82,135.47,1800.0,8,20.0,54498.0,1280710.0,26536993.0,856.0,20.72
S127,30.9955,53.9761,2075.0,2110.6,5.52,112.7,70.0,32.86,82.02,8914.0,3,30.0,128536.0,3020585.0,50203884.0,717.2,16.62
S128,32.9764,53.5829,1622.0,1907.1,0.65,73.2,45.0,23.03,147.3,7612.0,6,20.0,74663.0,1754580.0,35494564.0,788.8,20.23
S129,31.5488,53.0871,1080.0,2006.1,7.75,72.7,45.0,70.68,77.47,1975.0,4,80.0,78539.0,1845662.0,34283878.0,761.9,18.58
S130,30.9914,56.3743,1529.0,2104.1,3.5,90.2,56.0,20.97,91.01,6041.0,5,80.0,102512.0,2409026.0,40287488.0,719.4,16.72
S131,30.6185,56.2177,1305.0,2165.8,3.37,41.4,25.0,23.45,115.85,7616.0,5,80.0,47106.0,1106995.0,21260440.0,850.4,19.21
S132,33.0311,54.6562,1327.0,1949.9,2.97,109.6,68.0,31.05,60.39,7261.0,0,50.0,115356.0,2710868.0,47431920.0,697.5,17.5
S133,31.0246,55.8511,1572.0,2087.7,1.97,155.0,96.0,35.73,61.71,5690.0,1,50.0,174365.0,4097571.0,65943456.0,686.9,16.09
S134,32.9498,56.0579,2202.0,1898.9,0.75,143.0,89.0,67.04,70.67,2970.0,2,30.0,147032.0,3455248.0,63323554.0,711.5,18.33
S135,31.9051,55.0049,1098.0,2011.1,3.83,67.3,42.0,38.51,67.26,7371.0,7,50.0,73486.0,1726911.0,30855823.0,734.7,17.87
S136,31.9437,52.9782,1741.0,2015.3,2.38,137.2,85.0,101.91,122.14,1875.0,8,20.0,149031.0,3502239.0,65137098.0,766.3,18.6
S137,32.0659,56.0935,1551.0,2031.8,1.1,97.9,61.0,89.31,12.41,11397.0,1,50.0,107828.0,2533949.0,43803651.0,718.1,17.29
S138,30.8715,54.122,1116.0,2069.8,0.43,214.9,120.0,45.29,94.48,6887.0,3,30.0,216087.0,5078047.0,84162140.0,701.4,16.57
S139,31.9731,53.528,1666.0,1994.5,5.87,102.2,63.0,64.16,130.06,2568.0,8,20.0,109319.0,2568986.0,48474016.0,769.4,18.87
S140,33.1074,54.2948,1703.0,1892.3,2.44,52.4,32.0,50.62,94.79,2819.0,0,50.0,52682.0,1238018.0,25345587.0,792.0,20.47
S141,31.0142,54.2335,1406.0,2150.5,6.87,172.7,107.0,32.68,84.21,4016.0,3,30.0,200190.0,4704466.0,74363736.0,695.0,15.81
S142,31.0586,53.3405,1312.0,2153.2,1.86,43.7,27.0,16.05,30.25,12301.0,4,80.0,50579.0,1188599.0,18958886.0,702.2,15.95
S143,31.9212,53.5253,964.0,1971.3,1.29,62.4,38.0,69.38,124.48,5605.0,8,20.0,65171.0,1531523.0,31265414.0,822.8,20.41
S144,32.9074,53.3481,1110.0,1911.7,3.76,95.9,59.0,17.88,165.86,6862.0,6,20.0,98128.0,2305998.0,45348691.0,768.6,19.67
S145,32.7286,55.8305,1589.0,1914.1,1.57,35.9,22.0,77.09,57.18,3808.0,2,30.0,36636.0,860943.0,17551215.0,797.8,20.39
S146,32.7812,55.923,1372.0,1962.2,1.22,147.1,91.0,75.1,62.4,2711.0,2,30.0,155347.0,3650663.0,64931165.0,713.5,17.79
S147,32.022,52.9106,1770.0,2018.6,8.26,34.7,21.0,100.54,131.67,1889.0,6,20.0,36880.0,866676.0,20514050.0,976.9,23.67
S148,31.6131,55.6802,1191.0,2056.1,1.5,178.1,111.0,55.92,5.76,12164.0,1,50.0,198558.0,4666103.0,76311307.0,687.5,16.35
S149,30.9612,55.6793,1532.0,2126.8,0.98,132.0,82.0,52.46,54.7,5015.0,1,50.0,151726.0,3565559.0,57271244.0,698.4,16.06
S150,32.2403,56.2296,1408.0,1984.8,2.55,92.1,57.0,109.36,13.33,8995.0,1,50.0,98426.0,2313016.0,41801203.0,733.4,18.07
S151,32.9217,53.4924,1436.0,1914.4,1.03,80.6,50.0,14.8,153.35,9444.0,6,20.0,83276.0,1956995.0,38853761.0,777.1,19.85
S152,32.8673,55.6577,1357.0,1886.2,1.31,84.0,52.0,58.1,35.82,7941.0,2,30.0,85332.0,2005295.0,36866794.0,709.0,18.38
S153,31.6068,53.3272,1985.0,2102.0,6.06,75.7,47.0,67.14,85.82,3076.0,4,80.0,85951.0,2019843.0,35851635.0,762.8,17.75
S154,31.3768,53.2806,1445.0,2080.6,8.18,69.2,43.0,44.77,59.91,6021.0,4,80.0,77835.0,1829128.0,31604482.0,735.0,17.28
S155,33.3698,56.167,1476.0,1837.4,2.23,44.9,28.0,56.67,91.05,2292.0,2,30.0,44759.0,1051838.0,22615222.0,807.7,21.5
S156,32.2641,55.1763,1399.0,1984.0,1.5,94.7,59.0,33.59,29.41,7631.0,7,50.0,101839.0,2393210.0,40212012.0,681.6,16.8
S157,33.0412,53.0196,1538.0,1949.5,4.13,112.4,70.0,51.12,199.41,6858.0,6,20.0,118725.0,2790027.0,55756406.0,796.5,19.98
S158,32.3932,54.4399,1544.0,2040.7,2.77,147.1,91.0,41.13,59.24,4008.0,7,50.0,161562.0,3796712.0,62782566.0,689.9,16.54
S159,31.8454,56.0166,1486.0,2076.1,0.75,124.1,77.0,65.31,37.87,5326.0,1,50.0,139078.0,3268332.0,53997753.0,701.3,16.52
S160,33.2609,53.9489,1203.0,1887.4,8.62,34.1,21.0,68.42,129.59,3484.0,6,20.0,34483.0,810346.0,19964783.0,950.7,24.64
S161,32.6226,54.6755,1124.0,1950.5,4.09,83.3,52.0,47.35,37.87,7910.0,7,50.0,88241.0,2073655.0,36718345.0,706.1,17.71
S162,32.0873,53.5912,1630.0,2038.9,1.67,64.3,40.0,50.17,143.96,5051.0,8,20.0,70954.0,1667412.0,32833263.0,820.8,19.69
S163,31.6765,55.5356,1756.0,2016.7,0.41,178.2,111.0,70.81,19.23,7174.0,1,50.0,194753.0,4576689.0,77102786.0,694.6,16.85
S164,31.2052,55.0466,1352.0,2118.8,7.9,68.2,42.0,92.22,17.95,9756.0,3,30.0,77421.0,1819392.0,30961496.0,737.2,17.02
S165,31.4895,53.2145,1461.0,2062.2,7.92,96.9,60.0,58.78,71.19,1800.0,4,80.0,107647.0,2529701.0,43804344.0,730.1,17.32
S166,31.9882,54.9818,1464.0,2014.1,12.19,31.5,19.0,29.34,58.27,7594.0,7,50.0,33293.0,782387.0,15237204.0,802.0,19.48
S167,30.7022,55.9331,1383.0,2146.0,1.92,136.2,85.0,39.46,87.3,7377.0,5,80.0,158697.0,3729372.0,60224185.0,708.5,16.15
S168,31.9899,54.499,1037.0,1979.2,2.28,124.3,77.0,39.57,77.91,4939.0,7,50.0,132587.0,3115785.0,54257274.0,704.6,17.41
S169,31.233,54.123,2036.0,2140.2,3.64,75.4,47.0,6.38,96.55,8426.0,3,30.0,87513.0,2056550.0,34312377.0,730.1,16.68
S170,33.191,55.2482,1631.0,1926.9,3.23,54.4,33.0,35.77,23.13,9988.0,2,30.0,55321.0,1300051.0,23050082.0,698.5,17.73
S171,31.0752,53.2672,1230.0,2136.8,2.06,70.3,43.0,23.26,27.84,12946.0,4,80.0,79938.0,1878536.0,29647965.0,689.5,15.78
S172,32.4579,56.2127,1849.0,1926.7,6.83,128.5,80.0,119.69,32.74,5953.0,2,30.0,134098.0,3151311.0,60000976.0,750.0,19.04
S173,31.2654,54.0937,969.0,2056.0,4.38,94.6,59.0,1.84,100.04,9471.0,3,30.0,105534.0,2480060.0,42137022.0,714.2,16.99
