sites,capacity_mw,lifetime_gwh,capex_meur,eur_per_mwh,risk,feasible,violation,max_substation_share
5,216.0,9325.2,155.0,16.62,0.1516,True,0.0,0.282
7,214.0,9030.4,157.0,17.38,0.1056,True,0.0,0.229
5,207.0,8747.4,146.8,16.78,0.1329,True,0.0,0.227
7,217.0,9250.4,160.9,17.4,0.1046,True,0.0,0.217
6,207.0,8543.8,148.3,17.36,0.1257,True,0.0,0.227
6,207.0,8730.5,148.9,17.06,0.1247,True,0.0,0.275
5,223.0,9419.3,156.9,16.66,0.1308,True,0.0,0.211
5,216.0,9332.3,155.8,16.69,0.1393,True,0.0,0.282
7,215.0,9115.2,160.6,17.61,0.1028,True,0.0,0.219
5,224.0,9493.1,158.2,16.66,0.1321,True,0.0,0.241
6,210.0,8907.1,150.9,16.94,0.1143,True,0.0,0.224
7,220.0,9372.0,165.7,17.68,0.1012,True,0.0,0.2
6,207.0,8781.6,155.8,17.74,0.111,True,0.0,0.213
6,210.0,8998.7,151.3,16.81,0.1148,True,0.0,0.224
6,209.0,8797.4,153.5,17.45,0.1123,True,0.0,0.211
6,233.0,9896.5,165.4,16.71,0.1162,True,0.0,0.245
7,233.0,10013.8,171.7,17.15,0.1243,True,0.0,0.202
6,214.0,9123.0,154.3,16.92,0.1175,True,0.0,0.252
5,220.0,9615.5,157.9,16.42,0.2091,True,0.0,0.273
7,208.0,8719.9,153.7,17.63,0.1001,True,0.0,0.226
6,219.0,9351.0,157.0,16.79,0.1195,True,0.0,0.26
5,211.0,8958.7,150.6,16.82,0.1321,True,0.0,0.227
6,228.0,9761.8,163.6,16.76,0.1238,True,0.0,0.268
5,226.0,9806.2,160.7,16.38,0.1528,True,0.0,0.265
5,212.0,9024.9,150.8,16.71,0.1315,True,0.0,0.222
5,209.0,8827.4,147.4,16.7,0.1321,True,0.0,0.225
5,214.0,9238.5,153.0,16.57,0.1413,True,0.0,0.285
6,223.0,9542.9,159.5,16.71,0.1173,True,0.0,0.22
5,225.0,9713.4,161.1,16.59,0.1472,True,0.0,0.271
6,208.0,8778.3,153.1,17.44,0.1123,True,0.0,0.212
6,229.0,9842.9,164.1,16.67,0.1247,True,0.0,0.236
6,207.0,8901.1,150.0,16.85,0.117,True,0.0,0.227
5,222.0,9456.3,157.6,16.67,0.1351,True,0.0,0.243
6,233.0,10091.0,169.5,16.8,0.1331,True,0.0,0.232
7,226.0,9678.5,166.5,17.2,0.1086,True,0.0,0.239
7,207.0,8752.7,153.5,17.54,0.1026,True,0.0,0.222
6,225.0,9696.0,160.4,16.55,0.1249,True,0.0,0.267
5,207.0,8852.6,147.1,16.61,0.1356,True,0.0,0.275
6,220.0,9448.9,157.4,16.66,0.1167,True,0.0,0.245
5,219.0,9522.7,158.3,16.63,0.206,True,0.0,0.279
7,233.0,9904.4,167.8,16.94,0.0996,True,0.0,0.202
6,217.0,9311.0,155.0,16.65,0.1173,True,0.0,0.249
5,211.0,9197.7,152.1,16.53,0.141,True,0.0,0.256
6,210.0,8847.1,154.5,17.46,0.1124,True,0.0,0.21
7,215.0,8947.2,165.4,18.49,0.0976,True,0.0,0.205
6,207.0,8512.1,147.7,17.35,0.124,True,0.0,0.227
5,216.0,9183.5,153.5,16.72,0.1333,True,0.0,0.218
5,233.0,9871.1,163.0,16.51,0.1311,True,0.0,0.232
7,213.0,8882.4,164.4,18.51,0.095,True,0.0,0.183
7,216.0,8943.9,166.9,18.67,0.0946,True,0.0,0.181
6,232.0,9949.1,165.9,16.67,0.1174,True,0.0,0.233
5,219.0,9245.1,154.4,16.7,0.1344,True,0.0,0.26
6,222.0,9442.6,163.1,17.27,0.1128,True,0.0,0.212
6,217.0,9295.1,156.4,16.83,0.1145,True,0.0,0.217
8,229.0,9569.2,177.9,18.59,0.0886,True,0.0,0.205
5,211.0,9197.7,152.1,16.53,0.141,True,0.0,0.256
6,210.0,8998.7,151.3,16.81,0.1148,True,0.0,0.224
6,229.0,9842.9,164.1,16.67,0.1247,True,0.0,0.236
7,228.0,9709.8,166.8,17.18,0.1087,True,0.0,0.206
5,213.0,9189.1,151.1,16.44,0.1351,True,0.0,0.254
7,223.0,9421.2,166.1,17.63,0.0963,True,0.0,0.193
6,217.0,9295.1,156.4,16.83,0.1145,True,0.0,0.217
